RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
AA0272,M. oleagineus,0,5,,,,56,9.5,27-Jul,11,Sacha Huasi,2004
A0299,P. erythrocephala,0,3,,,,61,12.5,27-Jul,11,Sacha Huasi,2004
B0082,P. rubiginosus,0,5,,,,85,37.2,27-Jul,11,Sacha Huasi,2004
C1251,T. albicollis,0,5,,,,100,57,27-Jul,11,Sacha Huasi,2004
B0083,A. ochrolaemus,0,5,,,,87,33.6,28-Jul,6,Sacha Huasi,2004
AA0273,H. ochraceiceps,0,5,,,,60,12.5,28-Jul,6,Sacha Huasi,2004
AA0274,H. ochraceiceps,0,5,,,,57,12.1,28-Jul,6,Sacha Huasi,2004
B0084,H. rubica,0,3,,,,93,31,28-Jul,6,Sacha Huasi,2004
A0300,M. myotherinus,0,3,,,,63,20.9,28-Jul,6,Sacha Huasi,2004
BLAW,P. malaris,0,5,,,,63,7.1,28-Jul,6,Sacha Huasi,2004
A0304,T. caesius,0,4,,,,70,17.5,28-Jul,6,Sacha Huasi,2004
A0301,T. schistaceus,0,3,,,,73,17,28-Jul,6,Sacha Huasi,2004
A0302,T. schistaceus,0,3,,,,72,17.5,28-Jul,6,Sacha Huasi,2004
A0303,T. schistaceus,0,3,,,,71,17.5,28-Jul,6,Sacha Huasi,2004
A0305,C. pareola,0,6,,,,68,18.6,28-Jul,7,Sacha Huasi,2004
AA0276,L. coronata,0,3,,,,60,8.5,28-Jul,8,Sacha Huasi,2004
AA0277,M. oleagineus,0,5,,,,59,10,28-Jul,8,Sacha Huasi,2004
WBLA,P. malaris,0,5,,,,60,7.1,28-Jul,8,Sacha Huasi,2004
WW,P. malaris,0,5,,,,64,7,28-Jul,8,Sacha Huasi,2004
A0306,T. caesius,0,3,,,,71,16.5,28-Jul,8,Sacha Huasi,2004
AA0275,X. minutus,0,5,,,,65,12,28-Jul,8,Sacha Huasi,2004
B0086,A. ochrolaemus,0,5,,,,88,38,28-Jul,9,Sacha Huasi,2004
AA0278,G. spirurus,0,5,,,,63,13,28-Jul,9,Sacha Huasi,2004
AA0280,G. spirurus,0,5,,,,67,13.5,28-Jul,9,Sacha Huasi,2004
